x,Curve323K,Curve334K,Curve345K
0.573,4.12,,
0.876,108.06,,
1.16,191.42,,
1.444,258.32,,
1.606,295.37,,
1.749,312.86,,
1.912,322.13,,
2.137,330.36,,
2.607,337.56,,
3.2,345.8,,
3.835,351.97,,
4.509,362.26,,
5.102,369.47,,
5.696,371.53,,
6.187,371.53,,
6.392,363.29,,
6.556,347.86,,
6.74,354.03,,
7.251,378.73,,
7.761,412.69,,
8.332,453.86,,
8.781,500.17,,
9.331,565.01,,
10.867,,5.02,
11.06,,63.83,
11.188,,113.66,
11.381,,162.67,
11.607,,219.03,
11.833,,260.69,
12.059,,297.45,
12.204,,320.32,
12.463,,342.37,
12.869,,358.71,
13.242,,365.25,
13.713,,371.78,
14.183,,382.4,
14.751,,393.83,
15.157,,401.19,
15.579,,401.19,
15.985,,401.19,
16.31,,399.55,
16.505,,407.72,
16.991,,425.69,
17.494,,443.66,
17.948,,465.72,
18.402,,493.49,
18.823,,531.06,
19.26,,567.82,
19.664,,626.64,
23.063,,,7.47
23.111,,,32.79
23.207,,,58.11
23.32,,,83.43
23.498,,,112.02
23.74,,,145.51
23.918,,,172.47
24.176,,,210.04
24.451,,,238.63
24.726,,,268.86
25.066,,,298.26
25.52,,,324.4
26.088,,,351.36
26.607,,,373.41
27.206,,,407.72
27.984,,,448.56
28.843,,,500.84
29.54,,,556.39
30.236,,,619.28
30.915,,,702.6
